eventID,year,locality,verbatimLocality,recordedBy,georeferenceSources,decimalLatitude,decimalLongitude,lat,long,uncertainty,n
"CAS,Luquillo Mtns, 13.4 km S of Palmer, El Toro trail,1988",1988,"Luquillo Mtns, 13.4 km S of Palmer, El Toro trail","El Toro Trail, 13.4 km South of Palmer, Luquillo Mountains, Puerto Rico","""""J.B. Losos""""",Alexandria Digital Library Gazetteer,18.25114,-65.7706,18.25114,-65.7706,1000,1
"CAS,Ponce, Aibonito,1919",1919,"Ponce, Aibonito","Aibonito, Ponce, Porto Rico","""""K.P. Schmidt""""",Alexandria Digital Library Gazetteer,18.1419,-66.2664,NA,NA,NA,7
"CAS,Maricao River,1919",1919,Maricao River,"Maricao, Riv., Porto Rico","""""K.P. Schmidt""""",Alexandria Digital Library Gazetteer,18.1828,-66.9803,NA,NA,NA,5
"CAS,Mayaguez, Maricao,1919",1919,"Mayaguez, Maricao","Maricao, Mayaguez, Porto Rico","""""K.P. Schmidt""""",Alexandria Digital Library Gazetteer,18.1828,-66.9803,NA,NA,NA,3
"CAS,Ensenada,1919",1919,Ensenada,"Ensenada, Porto Rico","""""K.P. Schmidt""""",Alexandria Digital Library Gazetteer,17.9708,-66.9339,NA,NA,NA,3
"CAS,Bayamon, El Yunque,1919",1919,"Bayamon, El Yunque","El Yunque, Bayamon, Porto Rico","""""K.P. Schmidt""""",Alexandria Digital Library Gazetteer,18.3125,-65.7917,NA,NA,NA,2
"CAS,Ponce, Coamo Springs,1919",1919,"Ponce, Coamo Springs","Coamo Sprs., Ponce, Porto Rico","""""K.P. Schmidt""""",Alexandria Digital Library Gazetteer,18.0397,-66.3744,NA,NA,NA,1
"CAS,Rte 191,1975",1975,Rte 191,Puerto Rico: Rte. 191,"""""P.G. Haneline and A.P. Kozikowski""""","Google Maps, GeoLocate.",18.29595,-65.79027,NA,NA,NA,8
"CAS,Hacienda Roses, Km 34.2 on Rte 140,1975",1975,"Hacienda Roses, Km 34.2 on Rte 140","Puerto Rico: Hacienda Roses, km. 34.2 on Rte. 140","""""P.G. Haneline and A.P. Kozikowski""""",,18.25054,-66.62543,NA,NA,NA,4
"CAS,Hwy 120, km 9.5,1975",1975,"Hwy 120, km 9.5","Puerto Rico: Hwy 120, Km. 9.5","""""P.G. Haneline and A.P. Kozikowski""""",Alexandria Digital Library Gazetteer,18.1247,-66.9781,NA,NA,NA,1
"CAS,Bosque de Rio Abajo,1995",1995,Bosque de Rio Abajo,Puerto Rico: Bosque de Rio Abajo,"""""R. Lawson and R. Thomas""""",Alexandria Digital Library Gazetteer,18.3417,-66.7,18.3417,-66.7,1000,3
"CAS,ca 7 km (by rd) SE of Guanica, Cocos plantation on W side of Bahia de la Ballena,1995",1995,"ca 7 km (by rd) SE of Guanica, Cocos plantation on W side of Bahia de la Ballena","Puerto Rico: Cocos plantation on west side of Bahia de la Ballena, ca. 7 km by road SE Guanica","""""R. Lawson and R. Thomas""""",Alexandria Digital Library Gazetteer,17.9533,-66.8589,17.9533,-66.8589,1000,1
"CAS,Rd 631, ca 5 km SE Florida,1995",1995,"Rd 631, ca 5 km SE Florida","Puerto Rico: estimated 5 km by road 631 SE Florida, 250 m","""""R. Lawson and R. Thomas""""",Alexandria Digital Library Gazetteer,18.3653,-66.5675,18.3653,-66.5675,1000,1
"CAS,Bosque Estatal de Aguirre, distal part of Peninsula de Jobos, 17 56 51.4 N, 66 12 23.0 W,1995",1995,"Bosque Estatal de Aguirre, distal part of Peninsula de Jobos, 17 56 51.4 N, 66 12 23.0 W","Puerto Rico: Bosque de Aguirre, distal part of Peninsula de Jobos, 17 56 51.4 N, 66 12 23.0 W","""""R. Lawson and R. Thomas""""",,17.94761,-66.20639,17.94761,-66.20639,1000,1
"CAS,on property of U. Strickland,1995",1995,on property of U. Strickland,"Puerto Rico: Isla Culebra, on property of U. Strickland","""""R. Lawson""""",Alexandria Digital Library Gazetteer,18.3167,-65.2833,18.3167,-65.2833,1000,2
"CAS,San Juan: Rooseveldt Ave.,1977",1977,San Juan: Rooseveldt Ave.,Puerto Rico: San Juan: Rooseveldt Ave.,"""""R. McMorris""""",MultiMap.com,18.4138,-66.086,NA,NA,NA,3
"CAS,San Juan: Borinquen Towers,1977",1977,San Juan: Borinquen Towers,Puerto Rico: San Juan: Berrigen Towers,"""""R. McMorris""""","Google Maps, GeoLocate.",18.41261,-66.09577,NA,NA,NA,3
"CAS,San Juan: Borinquen Towers,1977",1977,San Juan: Borinquen Towers,Puerto Rico: San Juan: Barringen Towers,"""""R. McMorris""""","Google Maps, GeoLocate.",18.41261,-66.09577,NA,NA,NA,1
"CAS,13.7 km N of Sabana Grande,1965",1965,13.7 km N of Sabana Grande,Puerto Rico: 13.7 km. north of Sabana Grande (alt: 2000 ft.),"""""R. Thomas""""",Alexandria Digital Library Gazetteer,18.20348,-66.9608,NA,NA,NA,1
"CAS,Bayamon,1879",1879,Bayamon,"Bayamon, Porto Rico","""""S. Garman""""",Alexandria Digital Library Gazetteer,18.4006,-66.1561,NA,NA,NA,2
"CAS,1.3 mi E Playa Cana Gorda,1968",1968,1.3 mi E Playa Cana Gorda,Puerto Rico: 1.3 mi. E. Playa Cana Gorda,"""""T.P. Webster""""",Alexandria Digital Library Gazetteer,17.9547,-66.86335,NA,NA,NA,2
"CAS,8.4 mi S Palmer on P.R. 191, Luquillo Division, Caribbean Nat'l Forest,1968",1968,"8.4 mi S Palmer on P.R. 191, Luquillo Division, Caribbean Nat'l Forest","Puerto Rico: 8.4 mi. S. Palmer on P.R. 191, Luquillo Division, Caribbean Nat'l Forest","""""T.P. Webster""""",Alexandria Digital Library Gazetteer,18.25006,-65.7706,NA,NA,NA,1
"MCZ,El Verde Field Station [VERBATIM ELEVATION:1500ft],1971",1971,El Verde Field Station [VERBATIM ELEVATION:1500ft],"Puerto Rico:El Verde Field Station,elev.1500'",[no agent data],,NA,NA,18.321249,-65.8198151,500,242
"MCZ,University of Puerto Rico campus,1971",1971,University of Puerto Rico campus,Puerto Rico:UPR campus,[no agent data],,NA,NA,18.402789,-66.049805,1000,180
"MCZ,Ranger House,1971",1971,Ranger House,Puerto Rico;Ranger House,[no agent data],,NA,NA,18.340107,-65.825021,500,154
"MCZ,'upland' rte.186 km 21 [VERBATIM ELEVATION:800ft],1971",1971,upland' rte.186 km 21 [VERBATIM ELEVATION:800ft],Puerto Rico 'upland' rte 186 km 21 elev. 800',[no agent data],,NA,NA,18.3308614,-65.8216003,500,100
"MCZ,University of Puerto Rico campus,1972",1972,University of Puerto Rico campus,Puerto Rico:UPR campus,[no agent data],,NA,NA,18.402789,-66.049805,1000,76
"MCZ,Rio Grande,1972",1972,Rio Grande,Puerto Rico:Rio Grande,[no agent data],,NA,NA,18.376726,-65.841202,1000,68
"MCZ,Ranger Station,1972",1972,Ranger Station,Puerto Rico:Ranger Station,[no agent data],,NA,NA,18.340107,-65.825021,500,62
"MCZ,El Verde Field Station,1971",1971,El Verde Field Station,"Puerto Rico,El Verde Field Station",[no agent data],,NA,NA,18.321249,-65.8198151,500,62
"MCZ,El Yunque,1972",1972,El Yunque,Puerto Rico:El Yunque,[no agent data],,NA,NA,18.321054,-65.819733,5000,53
"MCZ,El Verde Field Station,1972",1972,El Verde Field Station,Puerto Rico:El Verde Field Sto.,[no agent data],,NA,NA,18.321249,-65.8198151,500,52
"MCZ,Ranger House, Rte.186 km 22 [VERBATIM ELEVATION:800ft],1972",1972,"Ranger House, Rte.186 km 22 [VERBATIM ELEVATION:800ft]",Ranger House 800ft. Rte 186 km 22,[no agent data],,NA,NA,18.340107,-65.825021,500,51
"MCZ,Rte 186,km 19, El Verde Field Station,1971",1971,"Rte 186,km 19, El Verde Field Station","Puerto Rico,Rte. 186,km 19,El Verde Field Station",[no agent data],,NA,NA,18.321249,-65.8198151,500,48
"MCZ,El Verde Field Station,Rte 186, km 19 [VERBATIM ELEVATION:1500ft],1971",1971,"El Verde Field Station,Rte 186, km 19 [VERBATIM ELEVATION:1500ft]","Puerto Rico,El Verde Field Station,Rte.186 km 19,elev.1500'",[no agent data],,NA,NA,18.321249,-65.8198151,500,42
"MCZ,Rte 191,El Yunque [VERBATIM ELEVATION:2000ft],1972",1972,"Rte 191,El Yunque [VERBATIM ELEVATION:2000ft]","Puerto Rico:Rte 191, El Yunque  2000' elev.",[no agent data],,NA,NA,18.299942,-65.785267,5000,41
"MCZ,Puerto Rico: UPR campus,1972",1972,Puerto Rico: UPR campus,Puerto Rico: UPR campus,[no agent data],,NA,NA,18.402789,-66.049805,1000,38
"MCZ,University of Puerto Rico campus,1971",1971,University of Puerto Rico campus,"Puerto Rico,UPR campus",[no agent data],,NA,NA,18.402789,-66.049805,1000,37
"MCZ,upland Rte 186,km 21,1971",1971,"upland Rte 186,km 21","Puerto Rico,'upland' Rte 186,km 21",[no agent data],,NA,NA,18.332821,-65.821512,500,35
"MCZ,Ranger House,1972",1972,Ranger House,Puerto Rico;Ranger House,[no agent data],,NA,NA,18.340107,-65.825021,500,31
"MCZ,Ranger House,1972",1972,Ranger House,"Ranger House,Puerto Rico",[no agent data],,NA,NA,18.340107,-65.825021,500,29
"MCZ,Ranger House,1971",1971,Ranger House,"Puerto Rico,Ranger House",[no agent data],,NA,NA,18.340107,-65.825021,500,28
"MCZ,Rte.186 km 19, El Verde Field Station [VERBATIM ELEVATION:1500ft],1971",1971,"Rte.186 km 19, El Verde Field Station [VERBATIM ELEVATION:1500ft]","Puerto Rico,Rte 186 km 19 elev.1500',El Verde Field Station",[no agent data],,NA,NA,18.321249,-65.8198151,500,27
"MCZ,Rte 186km 21 [VERBATIM ELEVATION:800'],1971",1971,Rte 186km 21 [VERBATIM ELEVATION:800'],"Puerto Rico,Rte 186 km 21,elev.800'",[no agent data],,NA,NA,18.332821,-65.821512,500,25
"MCZ,Rte. 191 El Yunque [VERBATIM ELEVATION:1700m],1972",1972,Rte. 191 El Yunque [VERBATIM ELEVATION:1700m],"Puerto Rico:Rte.191 El Yunque,elev.1700",[no agent data],,NA,NA,18.297931,-65.787509,5000,23
"MCZ,Puerto Rico: El Verde Field Station,1972",1972,Puerto Rico: El Verde Field Station,Puerto Rico: El Verde Field Station,[no agent data],,NA,NA,18.321249,-65.8198151,500,21
"MCZ,Puerto Rico: El Verde Field Station [VERBATIM ELEVATION:1500ft],1971",1971,Puerto Rico: El Verde Field Station [VERBATIM ELEVATION:1500ft],Puerto Rico: El Verde Field Station 1500',[no agent data],,NA,NA,18.321249,-65.8198151,500,21
"MCZ,Puerto Rico: Ranger Sta,1972",1972,Puerto Rico: Ranger Sta,Puerto Rico: Ranger Sta.,[no agent data],,NA,NA,18.340107,-65.825021,500,13
"MCZ,Puerto Rico: El Verde Field Station,1971",1971,Puerto Rico: El Verde Field Station,Puerto Rico: El Verde Field Station,[no agent data],,NA,NA,18.321249,-65.8198151,500,13
"MCZ,El Verde Field Station,1971",1971,El Verde Field Station,Puerto Rico:El Verde Field Station,[no agent data],,NA,NA,18.321249,-65.8198151,500,11
"MCZ,vicinity of spring crossing road at E end of island, Culebra,1971",1971,"vicinity of spring crossing road at E end of island, Culebra","vicinity of spring crossing road at E end of island, Culebra",[no agent data],Alexandria Digital Library Gazetteer,18.3167,-65.2833,18.3117457,-65.3048109,2000,10
"MCZ,El Verde Field Station,Rte.186 km 19 [VERBATIM ELEVATION:1500ft],1971",1971,"El Verde Field Station,Rte.186 km 19 [VERBATIM ELEVATION:1500ft]","Puerto Rico,El Verde Field Station,Rte.186 km 19,elev.1500'",[no agent data],,NA,NA,18.321249,-65.8198151,500,8
"MCZ,Puerto Rico: El Verde Field Station, Rte 186 KM 19,1971",1971,"Puerto Rico: El Verde Field Station, Rte 186 KM 19","Puerto Rico: El Verde Field Station, Rte 186 KM 19",[no agent data],,NA,NA,18.321249,-65.8198151,500,8
"MCZ,Rte 186,km 21 [VERBATIM ELEVATION:800'],1971",1971,"Rte 186,km 21 [VERBATIM ELEVATION:800']","Puerto Rico,Rte. 186,km 21",[no agent data],,NA,NA,18.332821,-65.821512,500,8
"MCZ,Puerto Rico: 1.25 m E Rio Grande,1971",1971,Puerto Rico: 1.25 m E Rio Grande,Puerto Rico: 1.25 m E. Rio Grande,[no agent data],,NA,NA,18.3782336,-65.8670181,1000,6
"MCZ,Rte.186 km 19 El Verde Field Station 'upland',1971",1971,Rte.186 km 19 El Verde Field Station 'upland',Puerto Rico:Rte 186 km 19 El Verde Field Station 'upland',[no agent data],,NA,NA,18.321249,-65.8198151,500,5
"MCZ,Panduras Mts,1973",1973,Panduras Mts,Panduras Mts.Puerto Rico,[no agent data],,NA,NA,NA,NA,NA,4
"MCZ,Ranger house [VERBATIM ELEVATION:800'],1971",1971,Ranger house [VERBATIM ELEVATION:800'],"Puerto Rico,Ranger House, elev.800'",[no agent data],,NA,NA,18.3396731,-65.8288157,500,4
"MCZ,Luquillo,El Verde,1973",1973,"Luquillo,El Verde","Puerto Rico:Luquillo,El Verde",[no agent data],,NA,NA,NA,NA,NA,3
"MCZ,Puerto Rico: Rio Grande,1972",1972,Puerto Rico: Rio Grande,Puerto Rico: Rio Grande,[no agent data],,NA,NA,NA,NA,NA,3
"MCZ,El Verde Field Station,rte.186 km 21 [VERBATIM ELEVATION:800ft],1971",1971,"El Verde Field Station,rte.186 km 21 [VERBATIM ELEVATION:800ft]","Puerto Rico,El Verde Field Station,rte.186 km 21, 800'",[no agent data],,NA,NA,18.340107,-65.825021,500,3
"MCZ,Puerto Rico: 8.5 mi S Palmer on PR 191,1968",1968,Puerto Rico: 8.5 mi S Palmer on PR 191,Puerto Rico: 8.5 mi. S Palmer on P.R. 191,[no agent data],,NA,NA,18.29875,-65.78847,100,3
"MCZ,Panduras Mts.,1973",1973,Panduras Mts.,Puerto Rico:Panduras Mts.,[no agent data],,NA,NA,NA,NA,NA,2
"MCZ,Luquillo (high alt.),1973",1973,Luquillo (high alt.),Puerto Rico:Loquillo(high alt.),[no agent data],,NA,NA,NA,NA,NA,2
"MCZ,Panduras Mts.,1973",1973,Panduras Mts.,"Panduras Mts., Puerto Rico",[no agent data],,NA,NA,NA,NA,NA,2
"MCZ,Puerto Rico: UPR campus,1971",1971,Puerto Rico: UPR campus,Puerto Rico: UPR campus,[no agent data],,NA,NA,NA,NA,NA,2
"MCZ,Puerto Rico: El Verde Field Station Rte 186 km 19,1971",1971,Puerto Rico: El Verde Field Station Rte 186 km 19,Puerto Rico: El Verde Field Station Rte 186 km 19,[no agent data],,NA,NA,18.321249,-65.8198151,500,2
"MCZ,Puerto Rico,1973",1973,Puerto Rico,Puerto Rico,[no agent data],,NA,NA,NA,NA,NA,1
"MCZ,in low scrub beside road a few kilometers W. Ponce,1973",1973,in low scrub beside road a few kilometers W. Ponce,Puerto Rico:in low scrub beside road a few kilometers W.Ponce,[no agent data],,NA,NA,NA,NA,NA,1
"MCZ,El Verde Field Station,1972",1972,El Verde Field Station,"Puerto Rico,El Verde Field Station",[no agent data],,NA,NA,18.321054,-65.819733,500,1
"MCZ,El Verde Field Station,Rte.186 km 19 [VERBATIM ELEVATION:1500ft],1971",1971,"El Verde Field Station,Rte.186 km 19 [VERBATIM ELEVATION:1500ft]","Puerto Rico,El Verde Field Station,rte.186 km 19,elev.1500' 800'",[no agent data],,NA,NA,18.321054,-65.819733,500,1
"MCZ,Puerto Rico: 1.25 mi E Rio Grande,1971",1971,Puerto Rico: 1.25 mi E Rio Grande,Puerto Rico: 1.25 mi E. Rio Grande,[no agent data],,NA,NA,NA,NA,NA,1
"KU,3.5 mi S El Verde,1961",1961,3.5 mi S El Verde,,A Schwartz,Alexandria Digital Library Gazetteer,18.28967,-65.82583,18.307773,-65.827708,2000,14
"KU,5 mi SE Mayaguez,1961",1961,5 mi SE Mayaguez,,A Schwartz,Google Earth; Tele Atlas 2007,18.13472,-67.13399,18.149289,-67.092128,1600,13
"KU,2 mi N Ponce,1961",1961,2 mi N Ponce,,A Schwartz,Google Earth; Tele Atlas 2007,18.05663,-66.61777,18.040453,-66.614007,1000,7
"KU,5 mi NE Lares,1965",1965,5 mi NE Lares,,A Schwartz,BioGeomancer 1.1.4,18.34807,-66.82368,18.34807,-66.82368,4000,4
"KU,2 km SE Las Vegas,1965",1965,2 km SE Las Vegas,,A Schwartz,BioGeomancer 1.1.4,18.17444,-67.01774,18.17444,-67.01774,1000,3
"KU,1.9 mi W Palmas Altas,1963",1963,1.9 mi W Palmas Altas,,A Schwartz,Google Earth; Tele Atlas 2007,18.4834,-66.5826,18.4834,-66.5826,1500,3
"KU,5.5 mi NE Utuado,1962",1962,5.5 mi NE Utuado,,A Schwartz,BioGeomancer 1.1.4,18.32405,-66.64164,18.319898,-66.642098,4400,3
"KU,8 mi NW Yauco,1965",1965,8 mi NW Yauco,,A Schwartz,Google Earth; Tele Atlas 2007,18.099,-66.9509,18.099,-66.9509,6500,2
"KU,17.7 km NE Utuado,1965",1965,17.7 km NE Utuado,,A Schwartz,BioGeomancer 1.1.4,18.38058,-66.58247,18.2975505,-66.6241554,1000,2
"KU,2 km NE Barranquitas,1965",1965,2 km NE Barranquitas,,A Schwartz,BioGeomancer 1.1.4,18.19837,-66.28927,18.197596,-66.30016,500,2
"KU,3.5 mi SW Aguas Buenas,1961",1961,3.5 mi SW Aguas Buenas,,A Schwartz,BioGeomancer 1.1.4,18.2229,-66.141,18.220571,-66.159655,2000,2
"KU,2 mi SW Yabucoa,1961",1961,2 mi SW Yabucoa,,A Schwartz,Google Earth; Tele Atlas 2007,18.0383,-65.9002,18.0371573,-65.90236,804,2
"KU,Parguera,1961",1961,Parguera,,A Schwartz,BioGeomancer 1.1.4,17.97667,-67.04861,NA,NA,NA,2
"KU,5.4 mi W Loiza Aldea,1961",1961,5.4 mi W Loiza Aldea,,A Schwartz,BioGeomancer 1.1.4,18.4333,-65.96556,18.4333,-65.96556,4250,2
"KU,Balneario de Boqueron,1965",1965,Balneario de Boqueron,,A Schwartz,Google Earth; Tele Atlas 2007,18.0179,-67.1715,NA,NA,NA,1
"KU,2.5 km SW Florida,1965",1965,2.5 km SW Florida,,A Schwartz,BioGeomancer 1.1.4,18.34931,-66.58423,18.34931,-66.58423,1250,1
"KU,0.9 km S Corsega,1965",1965,0.9 km S Corsega,,A Schwartz,,NA,NA,NA,NA,NA,1
"KU,7.2 km SE Quebradillas,1965",1965,7.2 km SE Quebradillas,,A Schwartz,BioGeomancer 1.1.4,18.4298,-66.89069,18.4298,-66.89069,3600,1
"KU,2 mi SW Sabana,1965",1965,2 mi SW Sabana,,A Schwartz,BioGeomancer 1.1.4,18.18141,-66.40343,18.18141,-66.40343,1600,1
"KU,4 mi W Las Llanadas,1965",1965,4 mi W Las Llanadas,,A Schwartz,BioGeomancer 1.1.4,18.39805,-66.7562,NA,NA,NA,1
"KU,2.1 km SW San German,1965",1965,2.1 km SW San German,,A Schwartz,Google Earth; Tele Atlas 2007,18.0618,-67.0542,18.0618,-67.0542,1100,1
"KU,3 km NW Quebradillas,1965",1965,3 km NW Quebradillas,,A Schwartz,BioGeomancer 1.1.4,18.47489,-66.95956,18.47489,-66.95956,1500,1
"KU,Punta Pitahaya,1965",1965,Punta Pitahaya,,A Schwartz,BioGeomancer 1.1.4,17.95028,-67.12334,NA,NA,NA,1
"KU,2 km S Pueblito de Ponce,1965",1965,2 km S Pueblito de Ponce,,A Schwartz,Google Earth; Tele Atlas 2007,18.4185,-66.9655,18.4202304,-66.9653398,500,1
"KU,2 km E Juana Diaz,1965",1965,2 km E Juana Diaz,,A Schwartz,BioGeomancer 1.1.4,18.04971,-66.47444,18.0495107,-66.4901523,1000,1
"KU,14 km N Villalba, Area Recreacional Dona Juana,1962",1962,"14 km N Villalba, Area Recreacional Dona Juana",,A Schwartz,BioGeomancer 1.1.4,18.25566,-66.4925,18.25566,-66.4925,1000,1
"KU,17.7 km NE Utuado,1961",1961,17.7 km NE Utuado,,A Schwartz,BioGeomancer 1.1.4,18.38058,-66.58247,18.25054,-66.62534,7290,1
"KU,10 mi N Villalba,1961",1961,10 mi N Villalba,,A Schwartz,BioGeomancer 1.1.4,18.27457,-66.4925,18.260046,-66.0046,8046,1
"KU,No locality data,1961",1961,No locality data,,A Schwartz,,NA,NA,NA,NA,NA,1
"KU,12 km S Palmer, rd to El Yunque,1961",1961,"12 km S Palmer, rd to El Yunque",,A Schwartz,Alexandria Digital Library Gazetteer,18.26353,-65.77056,18.29766,-65.78722,1000,1
"KU,Laguna Cartagena,1961",1961,Laguna Cartagena,,A Schwartz,BioGeomancer 1.1.4,18.01312,-67.10078,NA,NA,NA,1
"KU,2 mi N Ponce,1961",1961,2 mi N Ponce,,"A Schwartz, DC Leber",Google Earth; Tele Atlas 2007,18.05663,-66.61777,18.040453,-66.614007,1000,17
"KU,8.5 mi N Sabana Grande,1961",1961,8.5 mi N Sabana Grande,,"A Schwartz, DC Leber",BioGeomancer 1.1.4,18.20332,-66.96083,18.200408,-66.958265,1500,14
"KU,10 mi N Villalba,1961",1961,10 mi N Villalba,,"A Schwartz, DC Leber",BioGeomancer 1.1.4,18.27457,-66.4925,18.260046,-66.0046,8046,14
"KU,2 km S Las Vegas,1961",1961,2 km S Las Vegas,,"A Schwartz, DC Leber",BioGeomancer 1.1.4,18.16915,-67.03111,18.16915,-67.03111,1000,2
"KU,2 km NE Barranquitas,1965",1965,2 km NE Barranquitas,,"A Schwartz, R Thomas",BioGeomancer 1.1.4,18.19837,-66.28927,18.197596,-66.30016,500,11
"KU,Caja de Muertos Island, N mass,1965",1965,"Caja de Muertos Island, N mass",,"A Schwartz, R Thomas",Alexandria Digital Library Gazetteer,17.89667,-66.52028,17.8974429,-66.517825,200,10
"KU,7 km S Mora,1965",1965,7 km S Mora,,"A Schwartz, R Thomas",BioGeomancer 1.1.4,18.40676,-67.03278,18.40676,-67.03278,1000,9
"KU,12.9 km SW Fajardo,1965",1965,12.9 km SW Fajardo,,"A Schwartz, R Thomas",BioGeomancer 1.1.4,18.24538,-65.73907,18.255408,-65.733088,2500,7
"KU,6.5 km S Juana Diaz,1965",1965,6.5 km S Juana Diaz,,"A Schwartz, R Thomas",BioGeomancer 1.1.4,18.00765,-66.49333,18.000701,-66.489867,1000,6
"KU,No locality data,1965",1965,No locality data,,"A Schwartz, R Thomas",,NA,NA,NA,NA,NA,6
"KU,4 mi SW Ensenada,1965",1965,4 mi SW Ensenada,,"A Schwartz, R Thomas",BioGeomancer 1.1.4,17.95885,-66.97773,NA,NA,NA,4
"KU,13.7 km N Sabana Grande,1965",1965,13.7 km N Sabana Grande,,"A Schwartz, R Thomas",BioGeomancer 1.1.4,18.2035,-66.96083,18.2035,-66.96083,6500,4
"KU,Luquillo,1965",1965,Luquillo,,"A Schwartz, R Thomas",BioGeomancer 1.1.4,18.3744,-65.7185,NA,NA,NA,4
"KU,8 km E Guanica,1965",1965,8 km E Guanica,,"A Schwartz, R Thomas",Google Earth; Tele Atlas 2007,17.9846,-66.8444,17.9846,-66.8444,4000,4
"KU,Cabo Rojo lighthouse vicinity,1965",1965,Cabo Rojo lighthouse vicinity,,"A Schwartz, R Thomas",Google Earth; Tele Atlas 2007,17.9336,-67.1923,NA,NA,NA,3
"KU,Isla Pineros, on coast,1965",1965,"Isla Pineros, on coast",,"A Schwartz, R Thomas",,NA,NA,NA,NA,NA,1
"KU,Bosque de Rio Abajo, 2.5 mi SW Dos Bocas,1963",1963,"Bosque de Rio Abajo, 2.5 mi SW Dos Bocas",,"A Schwartz, RF Klinikowski",BioGeomancer 1.1.4,18.3143,-66.69802,NA,NA,NA,4
"KU,5.5 mi NE Utuado,1962",1962,5.5 mi NE Utuado,,"A Schwartz, WF",BioGeomancer 1.1.4,18.32405,-66.64164,18.319898,-66.642098,4400,3
